parte,variante,termino,est,ic_inf,ic_sup,p
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.7],0.19291930357746478,0.08303963749552791,0.44819388445449776,0.00013027600953635762
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.8],0.18868875409952862,0.0831688158271978,0.4280864837321559,6.613001955567269e-05
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.9],0.12402755892359928,0.05261656492957893,0.2923572717666955,1.8338252096803589e-06
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.10],0.19796215540702763,0.08509965295576442,0.4605073418309587,0.00016981498473340095
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.11],0.9806857161993767,0.284604298301606,3.3792338334197867,0.9753508069845209
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.12],0.5168517832712342,0.14779203528170712,1.8075112462012317,0.30148798049324976
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.13],0.1875516774898533,0.08741707573534861,0.40238856577347254,1.7290112341629318e-05
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.14],0.12058507040155701,0.044786621127991685,0.3246674751862553,2.8378669732413386e-05
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.16],0.08228364673400942,0.03261797348605525,0.20757262932787066,1.2210811929464298e-07
2_intensidad_nb,c_sin_corredor_norte,log_pob,1.3669406224862826,1.108266409926914,1.6859905241794777,0.0034958258185698973
2_intensidad_nb,c_sin_corredor_norte,alpha,1.5953136508293055,1.4394991417513134,1.767993860299226,5.23262635426455e-19
2_intensidad_nb,d_solo_urbanas,Intercept,0.00011101132317717016,4.775838545825719e-06,0.002580387455584607,1.4042759100790599e-08
2_intensidad_nb,d_solo_urbanas,C(cuartil)[T.2],0.6990684454287136,0.21678985303923407,2.2542415364139536,0.5489685510237106
2_intensidad_nb,d_solo_urbanas,C(cuartil)[T.3],0.694507603289737,0.22448533802011245,2.1486517350368786,0.5269629098812127
2_intensidad_nb,d_solo_urbanas,C(cuartil)[T.4],0.4135656259335396,0.13448099479035178,1.2718267530697303,0.12345123735654366
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.2],0.5045855068183233,0.17334263557297638,1.468805022200762,0.20957243406356274
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.3],0.45582301318006035,0.12431446817553611,1.6713631357145409,0.2359602061447834
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.4],0.18939267135019566,0.06822834373291124,0.525728487585444,0.0014017602188170616
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.5],0.31528290396170694,0.13277973444553573,0.7486331400316266,0.008893770664685849
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.6],0.24571173195928842,0.09541580218813893,0.6327490189034777,0.003634068784462116
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.7],0.33525337571843816,0.12516323431368248,0.897985950482278,0.029704296606294922
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.8],0.1596297043618612,0.06781138342547026,0.37577234422095834,2.6608617891739707e-05
2_intensidad_nb,d_solo_urbanas,C(cod_reg)[T.9],0.11294985145824647,0.036187289757882664,0.352545576908283,0.0001731982865804097
